ID do comentário,ID do canal,Carimbo de data/hora em que o comentário foi criado,Preço,ID do comentário principal,ID do post,ID do vídeo,Texto do comentário,ID do comentário de nível superior
UgyzIoBKrFBI8WU7O4p4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-06-04T20:53:24.286823+00:00,0,,,BxsoDRQtAI4,"{""text"":""Quero a parte 2""}",
UgzUxgJCeGObR4mfBKJ4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T21:00:43.807912+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
Ugzv_s_ylMp6IjUIJXZ4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T21:00:26.647627+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
UgwHEnVI_bURlLlvz9t4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T21:00:15.676796+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
Ugyn5yL3VSuFAk4kHAZ4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T21:00:08.213035+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
UgzR4_hwhLWX6wPLTtd4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T21:00:03.8528+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
UgwNb5LM4cuwxwOiRQN4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T20:59:59.039195+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
Ugy5lfe94WUfzFXuG_B4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T20:59:49.394525+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
UgydqdVbS9xcYwhiH2F4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T20:59:40.55486+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
UgxAFWEYyo0igAkqUQV4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T20:59:34.847118+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
